block.no;lar.density;lar.dev.rep;date;exp.day;1.instar;2.instar;3.instar;4.instar;pupa;Tot_pupa;adult;Tot_adult;male;female;Total_Alive;Dead;New Dead
14,3;low;3;2-ago-20;3;0;1;8;17;0;0;0;0;0;0;26;0;0
14,3;low;3;3-ago-20;4;0;0;1;24;0;0;0;0;0;0;25;1;1
14,3;low;3;4-ago-20;5;0;0;1;19;5;5;0;0;0;0;25;1;0
14,3;low;3;5-ago-20;6;0;0;0;1;19;24;0;0;0;0;25;1;0
14,3;low;3;6-ago-20;7;0;0;0;1;0;24;0;0;0;0;25;1;0
14,3;low;3;7-ago-20;8;0;0;0;1;0;9;15;15;8;7;25;1;0
14,3;low;3;8-ago-20;9;0;0;0;1;0;2;7;22;3;4;25;1;0
14,3;low;3;9-ago-20;10;0;0;0;0;1;2;1;23;0;1;25;1;0
14,3;low;3;10-ago-20;11;0;0;0;0;0;2;0;23;0;0;25;1;0
14,3;low;3;11-ago-20;12;0;0;0;0;0;2;0;23;0;0;25;1;0
14,3;low;3;12-ago-20;13;0;0;0;0;0;1;1;24;0;1;25;1;0
16,1;low;4;11-sep-20;0;26;0;0;0;0;0;0;0;0;0;26;0;0
16,1;low;4;12-sep-20;1;19;7;0;0;0;0;0;0;0;0;26;0;0
16,1;low;4;13-sep-20;2;3;19;4;0;0;0;0;0;0;0;26;0;0
16,1;low;4;14-sep-20;3;0;4;9;7;0;0;0;0;0;0;20;6;6
16,1;low;4;15-sep-20;4;0;0;0;19;0;0;0;0;0;0;19;7;1
16,1;low;4;16-sep-20;5;0;0;0;16;3;3;0;0;0;0;19;7;0
16,1;low;4;17-sep-20;6;0;0;0;1;15;18;0;0;0;0;19;7;0
16,1;low;4;18-sep-20;7;0;0;0;0;1;18;1;1;1;0;19;7;0
16,1;low;4;19-sep-20;8;0;0;0;0;0;4;14;15;7;7;19;7;0
16,1;low;4;20-sep-20;9;0;0;0;0;0;4;0;15;0;0;19;7;0
16,1;low;4;21-sep-20;10;0;0;0;0;0;0;4;19;2;2;19;7;0
16,1;low;5;16-sep-20;0;26;0;0;0;0;0;0;0;0;0;26;0;0
16,1;low;5;17-sep-20;1;20;6;0;0;0;0;0;0;0;0;26;0;0
16,1;low;5;18-sep-20;2;3;17;6;0;0;0;0;0;0;0;26;0;0
16,1;low;5;19-sep-20;3;0;0;3;23;0;0;0;0;0;0;26;0;0
16,1;low;5;20-sep-20;4;0;0;0;26;0;0;0;0;0;0;26;0;0
16,1;low;5;21-sep-20;5;0;0;0;17;9;9;0;0;0;0;26;0;0
16,1;low;5;22-sep-20;6;0;0;0;0;17;26;0;0;0;0;26;0;0
16,1;low;5;23-sep-20;7;0;0;0;0;0;20;6;6;6;0;26;0;0
16,1;low;5;24-sep-20;8;0;0;0;0;0;1;19;25;7;12;26;0;#ÁREF!
14,2;high;1;30-jun-20;0;78;0;0;0;0;0;0;0;0;0;78;0;0
14,2;high;1;1-jul-20;1;59;16;0;0;0;0;0;0;0;0;75;3;3
14,2;high;1;2-jul-20;2;26;39;6;0;0;0;0;0;0;0;71;7;4
14,2;high;1;3-jul-20;3;14;14;27;9;0;0;0;0;0;0;64;14;7
14,2;high;1;4-jul-20;4;0;4;21;33;0;0;0;0;0;0;58;20;6
14,2;high;1;5-jul-20;5;0;3;9;42;4;4;0;0;0;0;58;20;0
14,2;high;1;6-jul-20;6;0;3;5;22;24;28;0;0;0;0;58;20;0
14,2;high;1;7-jul-20;7;0;3;5;15;6;34;0;0;0;0;57;21;1
14,2;high;1;8-jul-20;8;0;3;4;14;2;26;10;10;7;3;57;21;0
14,2;high;1;9-jul-20;9;0;3;4;14;0;8;18;28;8;10;57;21;0
14,2;high;1;10-jul-20;10;0;2;2;16;0;2;6;34;0;6;56;22;1
14,2;high;1;11-jul-20;11;0;2;1;17;0;0;2;36;1;1;56;22;0
14,2;high;1;12-jul-20;12;0;2;0;16;2;2;0;36;0;0;56;22;0
14,2;high;1;13-jul-20;13;0;2;0;16;0;2;0;36;0;0;56;22;0
14,2;high;1;14-jul-20;14;0;2;0;16;0;2;0;36;0;0;56;22;0
14,2;high;1;15-jul-20;15;0;1;0;16;0;1;1;37;1;0;55;23;1
14,2;high;1;16-jul-20;16;0;1;0;15;0;1;0;37;0;0;54;24;1
14,2;high;1;17-jul-20;17;0;1;0;15;0;1;0;37;0;0;54;24;0
14,2;high;1;18-jul-20;18;0;1;0;13;0;1;0;37;0;0;52;26;2
14,2;high;1;19-jul-20;19;0;1;0;10;0;1;0;37;0;0;49;29;3
14,2;high;1;20-jul-20;20;0;1;0;9;0;1;0;37;0;0;48;30;1
14,2;high;1;21-jul-20;21;0;1;0;9;0;1;0;37;0;0;48;30;0
14,2;high;1;22-jul-20;22;0;1;0;7;0;1;0;37;0;0;46;32;2
14,2;high;1;23-jul-20;23;0;1;0;5;0;1;0;37;0;0;44;34;2
14,2;high;1;24-jul-20;24;0;1;0;4;0;1;0;37;0;0;43;35;1
14,2;high;1;25-jul-20;25;0;1;0;3;1;2;0;37;0;0;43;35;0
14,2;high;1;26-jul-20;26;0;0;1;2;0;2;0;37;0;0;42;36;1
14,2;high;1;27-jul-20;27;0;0;1;1;0;2;0;37;0;0;41;37;1
14,2;high;1;28-jul-20;28;0;0;1;0;0;2;0;37;0;0;40;38;1
14,2;high;1;29-jul-20;29;0;0;1;0;0;2;0;37;0;0;40;38;0
12,3;high;2;23-jul-20;0;78;0;0;0;0;0;0;0;0;0;78;0;#ÁREF!
12,3;high;2;24-jul-20;1;55;23;0;0;0;0;0;0;0;0;78;0;0
12,3;high;2;25-jul-20;2;27;41;10;0;0;0;0;0;0;0;78;0;0
12,3;high;2;26-jul-20;3;0;14;45;19;0;0;0;0;0;0;78;0;0
12,3;high;2;27-jul-20;4;0;1;4;73;0;0;0;0;0;0;78;0;0
12,3;high;2;28-jul-20;5;0;0;2;72;3;3;0;0;0;0;77;1;1
12,3;high;2;29-jul-20;6;0;0;1;29;41;44;0;0;0;0;74;4;3
12,3;high;2;30-jul-20;7;0;0;1;22;6;47;3;3;3;0;73;5;1
12,3;high;2;31-jul-20;8;0;0;1;21;1;12;36;39;26;10;73;5;0
12,3;high;2;1-ago-20;9;0;0;1;21;0;5;7;46;1;6;73;5;0
12,3;high;2;2-ago-20;10;0;0;1;20;1;3;3;49;1;2;73;5;0
12,3;high;2;3-ago-20;11;0;0;1;20;0;2;1;50;1;0;73;5;0
12,3;high;2;4-ago-20;12;0;0;0;21;0;2;0;50;0;0;73;5;0
12,3;high;2;5-ago-20;13;0;0;0;21;0;2;0;50;0;0;73;5;0
12,3;high;2;6-ago-20;14;0;0;0;20;0;2;0;50;0;0;72;6;1
12,3;high;2;7-ago-20;15;0;0;0;20;0;2;0;50;0;0;72;6;0
12,3;high;2;8-ago-20;16;0;0;0;20;0;2;0;50;0;0;72;6;0
12,3;high;2;9-ago-20;17;0;0;0;20;0;2;0;50;0;0;72;6;0
12,3;high;2;10-ago-20;18;0;0;0;19;0;2;0;50;0;0;71;7;1
12,3;high;2;11-ago-20;19;0;0;0;16;0;2;0;50;0;0;68;10;3
12,3;high;2;12-ago-20;20;0;0;0;12;0;2;0;50;0;0;64;14;4
12,3;high;2;13-ago-20;21;0;0;0;10;0;2;0;50;0;0;62;16;2
12,3;high;2;14-ago-20;22;0;0;0;7;0;2;0;50;0;0;59;19;3
12,3;high;2;15-ago-20;23;0;0;0;6;0;2;0;50;0;0;58;20;1
12,3;high;2;16-ago-20;24;0;0;0;5;0;2;0;50;0;0;57;21;1
12,3;high;2;17-ago-20;25;0;0;0;5;0;2;0;50;0;0;57;21;0
12,3;high;2;18-ago-20;26;0;0;0;5;0;2;0;50;0;0;57;21;0
12,3;high;2;19-ago-20;27;0;0;0;4;0;2;0;50;0;0;56;22;1
12,3;high;2;20-ago-20;28;0;0;0;4;0;2;0;50;0;0;56;22;0
12,3;high;2;21-ago-20;29;0;0;0;3;0;2;0;50;0;0;55;23;1
12,3;high;2;22-ago-20;30;0;0;0;3;0;2;0;50;0;0;55;23;0
12,3;high;2;23-ago-20;31;0;0;0;3;0;2;0;50;0;0;55;23;0
12,3;high;2;24-ago-20;32;0;0;0;3;0;2;0;50;0;0;55;23;0
12,3;high;2;25-ago-20;33;0;0;0;2;0;2;0;50;0;0;54;24;1
12,3;high;2;26-ago-20;34;0;0;0;2;0;2;0;50;0;0;54;24;0
12,3;high;2;27-ago-20;35;0;0;0;1;0;2;0;50;0;0;53;25;1
12,3;high;2;28-ago-20;36;0;0;0;1;0;2;0;50;0;0;53;25;0
12,3;high;2;29-ago-20;37;0;0;0;1;0;2;0;50;0;0;53;25;0
12,3;high;3;23-jul-20;0;78;0;0;0;0;0;0;0;0;0;78;0;#ÁREF!
12,3;high;3;24-jul-20;1;57;19;0;0;0;0;0;0;0;0;76;2;2
12,3;high;3;25-jul-20;2;31;38;5;0;0;0;0;0;0;0;74;4;2
12,3;high;3;26-jul-20;3;1;2;56;15;0;0;0;0;0;0;74;4;0
12,3;high;3;27-jul-20;4;0;2;3;64;0;0;0;0;0;0;69;9;5
12,3;high;3;28-jul-20;5;0;1;0;38;28;28;0;0;0;0;67;11;2
12,3;high;3;29-jul-20;6;0;1;0;15;23;51;0;0;0;0;67;11;0
12,3;high;3;30-jul-20;7;0;1;0;12;3;26;28;28;24;4;67;11;0
12,3;high;3;31-jul-20;8;0;1;0;8;4;10;20;48;8;12;67;11;0
12,3;high;3;1-ago-20;9;0;1;0;8;0;4;6;54;1;5;67;11;0
12,3;high;3;2-ago-20;10;0;1;0;8;0;1;3;57;0;3;67;11;0
12,3;high;3;3-ago-20;11;0;1;0;7;1;1;1;58;0;1;67;11;0
12,3;high;3;4-ago-20;12;0;0;0;5;0;1;0;58;0;0;64;14;3
12,3;high;3;5-ago-20;13;0;0;0;4;1;1;1;59;1;0;64;14;0
12,3;high;3;6-ago-20;14;0;0;0;4;0;0;1;60;1;0;64;14;0
12,3;high;3;7-ago-20;15;0;0;0;4;0;0;0;60;0;0;64;14;0
12,3;high;3;8-ago-20;16;0;0;0;4;0;0;0;60;0;0;64;14;0
12,3;high;3;9-ago-20;17;0;0;0;4;0;0;0;60;0;0;64;14;0
12,3;high;3;10-ago-20;18;0;0;0;4;0;0;0;60;0;0;64;14;0
12,3;high;3;11-ago-20;19;0;0;0;4;0;0;0;60;0;0;64;14;0
12,3;high;3;12-ago-20;20;0;0;0;4;0;0;0;60;0;0;64;14;0
12,3;high;3;13-ago-20;21;0;0;0;4;0;0;0;60;0;0;64;14;0
12,3;high;3;14-ago-20;22;0;0;0;3;0;0;0;60;0;0;63;15;1
12,3;high;3;15-ago-20;23;0;0;0;2;0;0;0;60;0;0;62;16;1
12,3;high;3;16-ago-20;24;0;0;0;2;0;0;0;60;0;0;62;16;0
12,3;high;3;17-ago-20;25;0;0;0;2;0;0;0;60;0;0;62;16;0
12,3;high;3;18-ago-20;26;0;0;0;2;0;0;0;60;0;0;62;16;0
12,3;high;3;19-ago-20;27;0;0;0;2;0;0;0;60;0;0;62;16;0
12,3;high;3;20-ago-20;28;0;0;0;1;0;0;0;60;0;0;61;17;1
12,3;high;3;21-ago-20;29;0;0;0;1;0;0;0;60;0;0;61;17;0
12,3;high;3;22-ago-20;30;0;0;0;1;0;0;0;60;0;0;61;17;0
12,3;high;3;23-ago-20;31;0;0;0;1;0;0;0;60;0;0;61;17;0
12,3;high;3;24-ago-20;32;0;0;0;1;0;0;0;60;0;0;61;17;0
12,3;high;3;25-ago-20;33;0;0;0;1;0;0;0;60;0;0;61;17;0
12,3;high;3;26-ago-20;34;0;0;0;1;0;0;0;60;0;0;61;17;0
12,3;high;3;27-ago-20;35;0;0;0;1;0;0;0;60;0;0;61;17;0
12,3;high;4;23-jul-20;0;78;0;0;0;0;0;0;0;0;0;78;0;#ÁREF!
12,3;high;4;24-jul-20;1;53;24;0;0;0;0;0;0;0;0;77;1;1
12,3;high;4;25-jul-20;2;25;37;13;0;0;0;0;0;0;0;75;3;2
12,3;high;4;26-jul-20;3;0;1;56;17;0;0;0;0;0;0;74;4;1
12,3;high;4;27-jul-20;4;0;1;2;71;0;0;0;0;0;0;74;4;0
12,3;high;4;28-jul-20;5;0;0;0;44;26;26;0;0;0;0;70;8;4
12,3;high;4;29-jul-20;6;0;0;0;14;29;55;0;0;0;0;69;9;1
12,3;high;4;30-jul-20;7;0;0;0;10;4;34;25;25;24;1;69;9;0
12,3;high;4;31-jul-20;8;0;0;0;10;0;8;26;51;9;17;69;9;0
12,3;high;4;1-ago-20;9;0;0;0;10;0;3;5;56;1;4;69;9;0
12,3;high;4;2-ago-20;10;0;0;0;9;1;4;0;56;0;0;69;9;0
12,3;high;4;3-ago-20;11;0;0;0;9;0;4;0;56;0;0;69;9;0
12,3;high;4;4-ago-20;12;0;0;0;8;0;4;0;56;0;0;68;10;1
12,3;high;4;5-ago-20;13;0;0;0;8;0;4;0;56;0;0;68;10;0
12,3;high;4;6-ago-20;14;0;0;0;7;0;4;0;56;0;0;67;11;1
12,3;high;4;7-ago-20;15;0;0;0;7;0;4;0;56;0;0;67;11;0
12,3;high;4;8-ago-20;16;0;0;0;7;0;4;0;56;0;0;67;11;0
12,3;high;4;9-ago-20;17;0;0;0;5;2;6;0;56;0;0;67;11;0
12,3;high;4;10-ago-20;18;0;0;0;5;0;6;0;56;0;0;67;11;0
12,3;high;4;11-ago-20;19;0;0;0;5;0;6;0;56;0;0;67;11;0
12,3;high;4;12-ago-20;20;0;0;0;5;0;6;0;56;0;0;67;11;0
12,3;high;4;13-ago-20;21;0;0;0;5;0;6;0;56;0;0;67;11;0
12,3;high;4;14-ago-20;22;0;0;0;4;0;6;0;56;0;0;66;12;1
12,3;high;4;15-ago-20;23;0;0;0;3;0;6;0;56;0;0;65;13;1
12,3;high;4;16-ago-20;24;0;0;0;3;0;6;0;56;0;0;65;13;0
12,3;high;4;17-ago-20;25;0;0;0;2;0;6;0;56;0;0;64;14;1
12,3;high;4;18-ago-20;26;0;0;0;1;0;6;0;56;0;0;63;15;1
12,3;high;4;19-ago-20;27;0;0;0;1;0;6;0;56;0;0;63;15;0
12,3;high;4;20-ago-20;28;0;0;0;1;0;6;0;56;0;0;63;15;0
12,3;high;4;21-ago-20;29;0;0;0;1;0;6;0;56;0;0;63;15;0
12,3;high;4;22-ago-20;30;0;0;0;1;0;6;0;56;0;0;63;15;0
16,1;high;5;11-sep-20;0;78;0;0;0;0;0;0;0;0;0;78;0;0
16,1;high;5;12-sep-20;1;65;11;0;0;0;0;0;0;0;0;76;2;2
16,1;high;5;13-sep-20;2;37;33;4;0;0;0;0;0;0;0;74;4;2
16,1;high;5;14-sep-20;3;2;6;24;10;0;0;0;0;0;0;42;36;32
16,1;high;5;15-sep-20;4;1;1;1;39;0;0;0;0;0;0;42;36;0
16,1;high;5;16-sep-20;5;0;1;0;33;7;7;0;0;0;0;41;37;1
16,1;high;5;17-sep-20;6;0;1;0;5;28;35;0;0;0;0;41;37;0
16,1;high;5;18-sep-20;7;0;1;0;2;3;36;2;2;2;0;41;37;0
16,1;high;5;19-sep-20;8;0;1;0;2;0;4;32;34;20;12;41;37;0
16,1;high;5;20-sep-20;9;0;1;0;2;0;4;0;34;0;0;41;37;0
16,1;high;5;21-sep-20;10;0;0;1;1;1;2;3;37;1;2;41;37;0
16,1;high;5;22-sep-20;11;0;0;0;2;0;2;0;37;0;0;41;37;0
16,1;high;5;23-sep-20;12;0;0;0;2;0;1;1;38;0;1;41;37;0
16,1;high;5;24-sep-20;13;0;0;0;2;0;1;0;38;0;0;41;37;0
16,1;high;5;25-sep-20;14;0;0;0;1;1;2;0;38;0;0;41;37;0
16,1;high;5;26-sep-20;15;0;0;0;1;0;2;0;38;0;0;41;37;0
16,1;high;5;27-sep-20;16;0;0;0;1;0;1;1;39;0;1;41;37;0

